ageGroup,artifactUrl,attributions,author,concepts,contentType,createdBy,description,downloadUrl,gradeLevel,identifier,keywords,language,name,objectType,status,subject,variants,content_type
,https://www.youtube.com/embed/il0EJrY64qE?autoplay=1&enablejsapi=1,[Khan Academy],,,Resource,739bd399-2044-4e7e-879c-15279e865e6a,This Content Will Help Us To Understand One Of The Key Concepts Of This Chapter,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251815669958246419271/basic-concepts-in-geometry_1528098642091_do_31251815669958246419271_1.0.ecar,[Class 9],do_31251815669958246419271do_31251815669958246419271,"[Basic concepts in geometry (Point,  Line and Plane), Co-ordinates of points and distance, Betweenness, Conditional statements and converse, Proofs]",[English],Basic Concepts In Geometry,Content,Live,Mathematics,"{u'spine': {u'size': 673115.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251815669958246419271/basic-concepts-in-geometry_1528098642270_do_31251815669958246419271_1.0_spine.ecar'}}",youtube
,https://www.youtube.com/watch?v=um9uCP7IvN0&index=5&list=PLUwf3cy5FZzj28BOO54tOqqMX3-N-ju88,[British Council],,"[LO45, LO46, LO47, LO3]",Resource,7bac17ee-cafa-40db-bdfe-3fbc7b3439b1,This video introduces some techniques to help your learners get the main idea of the text they are reading.,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123497199347220481152/developing-reading-skills-skimming-video_1530899912146_do_3123497199347220481152_2.0.ecar,"[Class 9, Class 10, Class 11, Class 12]",do_3123497199347220481152,"[CPD, Reading, Planning lessons and courses, Knowing the subject, Story]",[English],Developing reading skills: skimming - video,Content,Live,English,"{u'spine': {u'size': 94602.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123497199347220481152/developing-reading-skills-skimming-video_1530899912236_do_3123497199347220481152_2.0_spine.ecar'}}",youtube
,https://www.youtube.com/embed/T8IrMFlH5LE?autoplay=1&enablejsapi=1,[CBSE],,,Resource,739bd399-2044-4e7e-879c-15279e865e6a,This Content Will Help Us To Understand One Of The Key Concepts Of This Chapter,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312519619131678720110390/exogenetic-movements-part-2_1528274184042_do_312519619131678720110390_1.0.ecar,[Class 9],do_312519619131678720110390,"[Exogenetic processes, Work of rivers and landforms, Work of glaciers and landforms, Work of the wind and the landforms produced, Work of Sea Waves and the landforms, Work of groundwater and landforms produced]",[English],Exogenetic Movements Part -2,Content,Live,Geography,"{u'spine': {u'size': 369833.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312519619131678720110390/exogenetic-movements-part-2_1528274184187_do_312519619131678720110390_1.0_spine.ecar'}}",youtube
,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_3123526738169937922110/activity-1-1.pdf,[TISS],,[BED20000],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Activity 1: Cyberbullying,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123526738169937922110/activity-1-what-is-cyberbullying_1530899944119_do_3123526738169937922110_3.0.ecar,[Other],do_3123526738169937922110,[Course],[English],Activity 1: What is Cyberbullying,Content,Live,Other,"{u'spine': {u'size': 685398.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123526738169937922110/activity-1-what-is-cyberbullying_1530899944312_do_3123526738169937922110_3.0_spine.ecar'}}",pdf
,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31248997007586918412362/04.bccontenttestbritishcouncil_epc4_have_your_garden_workbook.pdf,,,,Resource,7bac17ee-cafa-40db-bdfe-3fbc7b3439b1,"Try doing the activities in this workbook before, during and after you watch the videos on using the textbook creatively: Have your Garden",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31248997007586918412362/using-the-textbook-creatively-have-your-garden-workbook_1524654797046_do_31248997007586918412362_1.0.ecar,"[Class 1, Class 2, Class 3, Class 4, Class 5]",do_31248997007586918412362,"[English, Vocabulary, CPD, Knowing the subject, Course]",[English],Using the textbook creatively: Have your Garden Workbook,Content,Live,English,"{u'spine': {u'size': 97134.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31248997007586918412362/using-the-textbook-creatively-have-your-garden-workbook_1524654797299_do_31248997007586918412362_1.0_spine.ecar'}}",pdf
,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_312471488159432704218679/chapter-15.mp4,,,[LO46],Resource,f79637f0-2c24-42ca-84b8-fc0d8190a392,Story,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312471488159432704218679/chapter-15-daadaajii-kalrav-hindi_1522403749447_do_312471488159432704218679_1.0.ecar,[Class 1],do_312471488159432704218679,"[26SDCG , Story]",[Hindi],Chapter 15 दादाजी Kalrav Hindi,Content,Live,Hindi,"{u'spine': {u'size': 72229.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312471488159432704218679/chapter-15-daadaajii-kalrav-hindi_1522403750648_do_312471488159432704218679_1.0_spine.ecar'}}",ecml
,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312435623471562752248/artifact/1524220174405_do_312435623471562752248.zip,,,[SC8],Resource,c319db31-e3d7-4182-acc3-93e651df777c,vitamin malnutririon,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312435623471562752248/vitamin-deficiency-c4tvnfc5cmrqvitamin-malnutration_1530906684167_do_312435623471562752248_2.0.ecar,[Class 10],do_312435623471562752248,[Learning / Study material],[Hindi],"vitamin deficiency   C4TVNF,C5CMRQ,VITAMIN MALNUTRATION",Content,Live,Biology,"{u'spine': {u'size': 605247.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312435623471562752248/vitamin-deficiency-c4tvnfc5cmrqvitamin-malnutration_1530906684411_do_312435623471562752248_2.0_spine.ecar'}}",ecml
,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312467304624283648217055/artifact/1528259130265_do_312467304624283648217055.zip,"[bser books, self ]",,[MATH80000],Resource,60458228-7238-4061-aedc-8ede2e80fa69,"आंकड़ों का आलेखीय निरूपण , दण्ड आलेख , आयत चित्र , बारम्बारता बहुभुज",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312467304624283648217055/aankdddhon-kaa-aalekhiiy-niruupnn_1528259132385_do_312467304624283648217055_1.0.ecar,[Class 9],do_312467304624283648217055,"[आंकड़ों का आलेखीय निरूपण ,  दण्ड आलेख ,  आयत चित्र ,  बारम्बारता बहुभुज , BPTSQE, C4JZLS, आंकड़ों के विभिन्न आलेखीय निरूपण, आलेखों के प्रकार, bar grap, histrograph, frequency polygon, Learning / Study material]",[Hindi],आंकड़ों का आलेखीय निरूपण,Content,Live,Mathematics,"{u'spine': {u'size': 87703.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312467304624283648217055/aankdddhon-kaa-aalekhiiy-niruupnn_1528259133880_do_312467304624283648217055_1.0_spine.ecar'}}",ecml
,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_312462871473274880213885/artifact/1528258983550_do_312462871473274880213885.zip,[bser books self ],,[MATH80000],Resource,60458228-7238-4061-aedc-8ede2e80fa69,"सांख्यिकी ,आंकड़ों का सारणी रूप मे प्रस्तुतीकरण",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312462871473274880213885/aankdddhon-kaa-saarnnii-ruup-me-prstutiikrnn_1528258985418_do_312462871473274880213885_1.0.ecar,[Class 9],do_312462871473274880213885,"[BPTSQE, C4B4K5, आंकड़ों का सारणी रूप में प्रस्तुतिकरण, सांख्यिकी , statistics , Learning / Study material]",[Hindi],आंकड़ों का सारणी रूप मे प्रस्तुतीकरण,Content,Live,Mathematics,"{u'spine': {u'size': 18936.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_312462871473274880213885/aankdddhon-kaa-saarnnii-ruup-me-prstutiikrnn_1528258986471_do_312462871473274880213885_1.0_spine.ecar'}}",ecml
,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31250578380482150414335/artifact/1528277648666_do_31250578380482150414335.zip,,,,Resource,d9798304-044b-4afb-a4b1-c77c8b56ae38,प्रश्नोत्तर विधि द्वारा महत्वपूर्ण बिन्दुओ से अधिगम आकलन करना l,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250578380482150414335/aakaashiiy-pinndd-evm-bhaartiiy-pncaang-mhtvpuurnn-bindu_1528277649008_do_31250578380482150414335_1.0.ecar,[Class 9],do_31250578380482150414335,"[6728ES, 6KSFB6, आकाशीय पिण्ड एवम् भारतीय पंचांग, महत्वपूर्ण बिन्दु, श्यामप्रताप सिंह, SHYAMPRATAP SINGH, अध्याय 12, विषय विज्ञान, कक्षा 9, भारतीय पंचांग, प्रश्नोत्तर, Celestial bodies and Indian Calendar, अधिगम आकलन, आकाशीय पिण्ड, महत्वपूर्ण बिंदु, आकाशीय पिंड, भारतीय पञ्चांग]",[English],आकाशीय पिण्ड एवम् भारतीय पंचांग ( महत्वपूर्ण बिन्दु ),Content,Live,Science,"{u'spine': {u'size': 59500.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31250578380482150414335/aakaashiiy-pinndd-evm-bhaartiiy-pncaang-mhtvpuurnn-bindu_1528277649142_do_31250578380482150414335_1.0_spine.ecar'}}",ecml
